,X1,Y1,X2,Y2
0,303,28,310,0
1,310,28,315,0
2,314,28,322,0
3,321,28,331,0
4,338,28,341,0
5,338,18,364,0
6,345,28,352,0
7,352,28,364,0
8,375,28,383,0
9,405,17,430,0
10,426,28,434,0
11,316,45,331,15
12,331,45,341,15
13,320,33,356,19
14,376,45,389,15
15,376,36,418,20
16,398,45,421,15
17,42,98,63,63
18,46,88,92,74
19,71,98,83,63
20,82,98,92,63
21,100,98,110,63
22,100,88,128,74
23,117,98,133,63
24,132,98,142,63
25,129,88,159,74
26,149,98,165,63
27,188,88,203,74
28,202,88,217,74
29,188,88,246,74
30,248,88,284,74
31,329,91,340,74
32,329,91,363,74
33,351,91,369,74
34,365,88,384,74
35,42,135,54,100
36,46,125,72,111
37,62,135,72,100
38,79,135,83,100
39,82,135,98,100
40,79,125,124,111
41,112,135,118,100
42,117,135,124,100
43,129,135,136,100
44,135,135,142,100
45,141,135,147,100
46,129,125,186,111
47,167,135,188,100
48,301,172,313,137
49,305,162,328,148
50,324,172,328,137
51,336,162,342,148
52,341,162,345,148
53,344,162,354,148
54,353,162,374,148
55,332,162,433,148
56,42,208,60,173
57,46,198,77,184
58,82,208,92,173
59,91,208,104,173
60,103,208,115,173
61,82,201,160,184
62,135,208,150,173
63,149,208,162,173
64,42,247,55,217
65,46,235,72,221
66,64,247,72,217
67,72,247,85,217
68,94,247,105,217
69,104,247,120,217
70,94,238,176,221
71,329,235,340,221
72,42,282,72,247
73,46,272,98,258
74,109,282,118,247
75,109,272,145,258
76,330,272,344,258
77,330,272,356,258
78,46,309,83,295
79,68,319,77,284
80,77,319,83,284
81,88,319,95,284
82,94,319,101,284
83,100,319,110,284
84,109,319,115,284
85,123,309,152,295
86,129,319,136,284
87,135,319,147,284
88,146,319,156,284
89,329,309,331,295
90,329,309,347,295
91,339,309,347,295
92,42,356,57,321
93,46,346,75,332
94,94,346,152,332
95,117,356,133,321
96,132,356,142,321
97,141,356,156,321
98,329,346,348,332
99,42,392,100,358
100,94,406,103,354
101,329,382,340,368
102,42,431,55,401
103,46,422,84,405
104,72,431,85,401
105,99,419,120,405
106,329,419,340,405
107,329,419,360,405
108,42,466,75,431
109,46,456,104,442
110,88,466,104,431
111,138,459,171,442
112,329,456,340,442
113,329,456,368,442
