,X1,Y1,X2,Y2
0,308,16,319,0
1,321,13,328,5
2,328,16,334,1
3,334,13,342,5
4,344,13,356,5
5,357,13,363,5
6,365,13,372,5
7,378,12,388,1
8,384,15,393,1
9,389,12,397,5
10,397,12,405,1
11,406,12,412,5
12,413,15,421,5
13,422,12,428,5
14,321,31,328,20
15,321,31,333,20
16,335,31,341,24
17,342,31,348,24
18,349,31,358,20
19,359,31,366,20
20,372,31,378,24
21,379,31,385,24
22,385,34,393,24
23,394,31,402,24
24,403,31,409,24
25,410,31,415,21
26,47,86,58,75
27,59,86,65,79
28,66,86,75,75
29,68,86,80,79
30,81,86,91,79
31,96,86,102,75
32,102,86,110,79
33,110,86,126,75
34,120,86,126,75
35,130,86,141,75
36,142,86,150,79
37,151,86,157,79
38,190,86,208,75
39,200,86,209,75
40,209,86,216,79
41,218,86,226,75
42,227,86,233,79
43,234,86,240,79
44,241,86,244,79
45,249,86,263,75
46,260,86,268,75
47,265,86,275,75
48,276,86,282,79
49,330,86,341,75
50,338,89,347,75
51,342,89,350,79
52,351,86,361,79
53,367,86,373,75
54,375,86,381,75
55,47,123,57,112
56,57,123,63,116
57,64,123,69,116
58,69,123,74,113
59,79,123,90,112
60,91,123,97,116
61,99,123,111,116
62,107,123,116,112
63,112,123,123,116
64,128,123,139,112
65,141,123,144,116
66,145,123,151,116
67,151,123,159,112
68,160,123,166,116
69,166,123,170,114
70,171,123,177,116
71,179,123,184,116
72,306,160,316,149
73,312,160,321,149
74,317,160,329,149
75,334,160,344,149
76,346,160,353,149
77,355,160,361,153
78,361,160,370,149
79,362,160,378,149
80,380,160,386,153
81,384,160,390,149
82,387,160,398,149
83,402,160,412,149
84,412,160,418,153
85,419,160,424,153
86,425,160,430,150
87,47,196,57,185
88,57,196,63,189
89,64,196,69,189
90,69,196,74,186
91,79,196,90,185
92,89,199,95,185
93,91,196,103,189
94,104,196,110,189
95,110,199,116,185
96,112,199,130,185
97,123,199,129,185
98,131,196,140,185
99,136,199,144,185
100,141,196,149,189
101,150,196,157,189
102,330,196,337,185
103,330,196,342,185
104,343,196,355,189
105,354,196,360,185
106,355,196,368,185
107,369,196,374,186
108,47,233,58,222
109,53,233,62,222
110,58,233,69,226
111,76,233,82,226
112,83,233,89,222
113,92,233,108,222
114,102,236,111,222
115,110,236,116,222
116,109,236,123,226
117,124,233,131,226
118,133,233,139,226
119,141,233,148,226
120,146,236,155,222
121,150,233,160,222
122,162,233,168,226
123,169,233,174,226
124,330,233,338,222
125,48,270,59,259
126,60,270,63,259
127,64,270,71,263
128,73,270,79,263
129,81,270,88,263
130,89,270,94,263
131,95,270,101,263
132,106,270,115,259
133,117,270,123,263
134,123,270,131,263
135,132,270,138,263
136,139,270,142,259
137,331,270,337,259
138,337,270,346,259
139,338,270,353,259
140,48,307,57,296
141,59,307,62,296
142,63,307,70,300
143,71,307,78,300
144,79,307,87,296
145,91,307,101,296
146,98,307,107,296
147,102,307,114,300
148,113,307,119,296
149,116,307,127,300
150,128,307,135,300
151,137,307,143,300
152,144,307,150,300
153,331,307,345,296
154,48,344,55,333
155,54,344,63,333
156,57,344,77,333
157,69,344,77,333
158,83,344,100,333
159,93,344,99,333
160,102,344,105,337
161,107,344,113,337
162,114,344,122,333
163,123,344,130,337
164,132,344,138,337
165,139,344,144,337
166,145,344,150,337
167,330,344,337,333
168,339,344,345,333
169,48,380,53,369
170,54,380,61,373
171,63,380,68,373
172,67,390,73,359
173,69,380,76,373
174,78,380,85,369
175,87,380,94,373
176,330,380,338,369
177,48,417,57,406
178,54,420,65,406
179,59,417,74,406
180,74,420,82,410
181,87,417,95,406
182,95,417,108,406
183,106,417,112,406
184,110,417,122,410
185,127,417,132,406
186,133,417,140,410
187,142,417,150,406
188,149,417,158,406
189,151,417,165,410
190,330,417,337,406
191,338,417,345,406
192,347,417,349,415
193,350,417,358,406
194,47,454,58,443
195,53,454,62,443
196,59,454,70,443
197,71,454,79,443
198,76,454,85,443
199,81,454,92,444
200,93,454,99,447
201,100,454,105,447
202,109,454,119,443
203,120,454,126,447
204,125,457,134,443
205,127,457,147,443
206,141,457,147,443
207,148,454,154,447
208,155,454,161,447
209,163,454,169,447
210,330,454,338,443
211,339,454,341,452
212,342,454,350,443
213,350,454,357,443
214,359,454,365,443
